Zipcode,City,County,State,Country,Timezone
32405-7085,Panama City,Bay,FL,US,US/Central
32505-5520,Pensacola,Escambia,FL,US,US/Central
32536-7239,Crestview,Okaloosa,FL,US,US/Central
32539-7125,Crestview,Okaloosa,FL,US,US/Central
32583-9460,Milton,Santa Rosa,FL,US,US/Central
35004,Moody,St. Clair,AL,US,US/Central
35051-3761,Columbiana,Shelby,AL,US,US/Central
35080-3637,Helena,Shelby,AL,US,US/Central
35080-7516,Helena,Shelby,AL,US,US/Central
35094-3789,Leeds,Jefferson,AL,US,US/Central
35207-3179,Birmingham,Jefferson,AL,US,US/Central
35401-2217,Tuscaloosa,Tuscaloosa,AL,US,US/Central
35444,Brookwood,Tuscaloosa,AL,US,US/Central
35640,Hartselle,Morgan,AL,US,US/Central
35670,Somerville,Morgan,AL,US,US/Central
35816-1001,Huntsville,Madison,AL,US,US/Central
36067,Prattville,Autauga,AL,US,US/Central
36083-5815,Tuskegee,Macon,AL,US,US/Central
36526,Daphne,Baldwin,AL,US,US/Central
36541-5111,Grand Bay,Mobile,AL,US,US/Central
36544-2405,Irvington,Mobile,AL,US,US/Central
36606-1412,Mobile,Mobile,AL,US,US/Central
37013-3647,Antioch,Davidson,TN,US,US/Central
37013-4146,Antioch,Davidson,TN,US,US/Central
37013-5618,Antioch,Davidson,TN,US,US/Central
37027-8812,Brentwood,Williamson,TN,US,US/Central
37064-2019,Franklin,Williamson,TN,US,US/Central
37135-8511,Nolensville,Davidson,TN,US,US/Central
37203-2446,Nashville,Davidson,TN,US,US/Central
37205-2327,Nashville,Davidson,TN,US,US/Central
37206-3545,Nashville,Davidson,TN,US,US/Central
37207-4413,Nashville,Davidson,TN,US,US/Central
37207-5040,Nashville,Davidson,TN,US,US/Central
37208-1005,Nashville,Davidson,TN,US,US/Central
37208-1057,Nashville,Davidson,TN,US,US/Central
37208-1907,Nashville,Davidson,TN,US,US/Central
37208-2632,Nashville,Davidson,TN,US,US/Central
37209-3354,Nashville,Davidson,TN,US,US/Central
37210-3707,Nashville,Davidson,TN,US,US/Central
37211-4613,Nashville,Davidson,TN,US,US/Central
37212-2205,Nashville,Davidson,TN,US,US/Central
37216-3104,Nashville,Davidson,TN,US,US/Central
37217-1002,Nashville,Davidson,TN,US,US/Central
37217-3018,Nashville,Davidson,TN,US,US/Central
37218-3805,Nashville,Davidson,TN,US,US/Central
37218-4203,Nashville,Davidson,TN,US,US/Central
38053-5629,Millington,Shelby,TN,US,US/Central
38105-4603,Memphis,Shelby,TN,US,US/Central
38112-1712,Memphis,Shelby,TN,US,US/Central
38120-2801,Memphis,Shelby,TN,US,US/Central
38122-5108,Memphis,Shelby,TN,US,US/Central
38128-6317,Memphis,Shelby,TN,US,US/Central
38341-4067,Holladay,Benton,TN,US,US/Central
38611-9345,Byhalia,Marshall,MS,US,US/Central
38672,Southaven,DeSoto,MS,US,US/Central
39073-9411,Florence,Rankin,MS,US,US/Central
39581,Pascagoula,Jackson,MS,US,US/Central
46534,Knox,Starke,IN,US,US/Central
47847-8024,Dana,Vermillion,IN,US,US/Central
50315-7243,Des Moines,Polk,IA,US,US/Central
50659-9021,New Hampton,Chickasaw,IA,US,US/Central
51063,Whiting,Monona,IA,US,US/Central
51543-3002,Kimballton,Audubon,IA,US,US/Central
52240-7801,Iowa City,Johnson,IA,US,US/Central
52310-1060,Monticello,Jones,IA,US,US/Central
53122-2501,Elm Grove,Waukesha,WI,US,US/Central
53204-1329,Milwaukee,Milwaukee,WI,US,US/Central
53211-1811,Milwaukee,Milwaukee,WI,US,US/Central
53221-2938,Milwaukee,Milwaukee,WI,US,US/Central
53560-9409,Mazomanie,Dane,WI,US,US/Central
54107-8940,Bonduel,Shawano,WI,US,US/Central
54302-2735,Green Bay,Brown,WI,US,US/Central
54634-4266,Hillsboro,Vernon,WI,US,US/Central
54945-9519,Iola,Waupaca,WI,US,US/Central
54963-9416,Omro,Winnebago,WI,US,US/Central
55008-3504,Cambridge,Isanti,MN,US,US/Central
55073-9547,Scandia,Washington,MN,US,US/Central
55089,Welch,Goodhue,MN,US,US/Central
55371,Princeton,Isanti,MN,US,US/Central
55445,Minneapolis,Hennepin,MN,US,US/Central
56315,Brandon,Douglas,MN,US,US/Central
56527,Deer Creek,Otter Tail,MN,US,US/Central
56662,Outing,Cass,MN,US,US/Central
60010-1003,North Barrington,Lake,IL,US,US/Central
60010-2640,Barrington,Lake,IL,US,US/Central
60051-5109,Johnsburg,Mchenry,IL,US,US/Central
60051-7241,Mchenry,Mchenry,IL,US,US/Central
60053,Morton Grove,Cook,IL,US,US/Central
60060-2209,Mundelein,Lake,IL,US,US/Central
60068-2812,Park Ridge,Cook,IL,US,US/Central
60070,Prospect Heights,Cook,IL,US,US/Central
60081,Spring Grove,Lake,IL,US,US/Central
60120-4121,Elgin,Kane,IL,US,US/Central
60120-4655,Elgin,Kane,IL,US,US/Central
60120-6657,Elgin,Kane,IL,US,US/Central
60120-8338,Elgin,Kane,IL,US,US/Central
60131-1218,Franklin Park,Cook,IL,US,US/Central
60133-3252,Hanover Park,Cook,IL,US,US/Central
60137-4903,Glen Ellyn,Dupage,IL,US,US/Central
60137-5374,Glen Ellyn,DuPage,IL,US,US/Central
60148-2307,Lombard,Dupage,IL,US,US/Central
60160-2510,Melrose Park,Cook,IL,US,US/Central
60181-1964,Villa Park,Dupage,IL,US,US/Central
60181-3212,Villa Park,DuPage,IL,US,US/Central
60185-2708,West Chicago,DuPage,IL,US,US/Central
60187-5017,Wheaton,Dupage,IL,US,US/Central
60516-3420,Downers Grove,DuPage,IL,US,US/Central
60521-3227,Hinsdale,Dupage,IL,US,US/Central
60521-3755,Hinsdale,Dupage,IL,US,US/Central
60525-3069,La Grange,Cook,IL,US,US/Central
60527-1959,Willowbrook,DuPage,IL,US,US/Central
60527-4514,Burr Ridge,Cook,IL,US,US/Central
60561-5044,Darien,Dupage,IL,US,US/Central
60613-1323,Chicago,Cook,IL,US,US/Central
60629-4402,Chicago,Cook,IL,US,US/Central
60630-1407,Chicago,Cook,IL,US,US/Central
60631-2915,Chicago,Cook,IL,US,US/Central
60642-4012,Chicago,Cook,IL,US,US/Central
60642-5731,Chicago,Cook,IL,US,US/Central
60644-2901,Chicago,Cook,IL,US,US/Central
60647-3147,Chicago,Cook,IL,US,US/Central
60647-4105,Chicago,Cook,IL,US,US/Central
60651-1936,Chicago,Cook,IL,US,US/Central
60660-3445,Chicago,Cook,IL,US,US/Central
60804-1222,Cicero,Cook,IL,US,US/Central
61354,Peru,Bureau,IL,US,US/Central
62650-6486,Jacksonville,Morgan,IL,US,US/Central
62912,Buncombe,Union,IL,US,US/Central
63110-1247,Saint Louis,St. Louis City,MO,US,US/Central
66401,Alma,Wabaunsee,KS,US,US/Central
68005-5221,Bellevue,Sarpy,NE,US,US/Central
68008-2151,Blair,Washington,NE,US,US/Central
68105-4014,Omaha,Douglas,NE,US,US/Central
68106-4552,Omaha,Douglas,NE,US,US/Central
68111-3147,Omaha,Douglas,NE,US,US/Central
68111-3576,Omaha,Douglas,NE,US,US/Central
68111-3706,Omaha,Douglas,NE,US,US/Central
68114-1518,Omaha,Douglas,NE,US,US/Central
68114-3301,Omaha,Douglas,NE,US,US/Central
68130-2214,Omaha,Douglas,NE,US,US/Central
68132-1814,Omaha,Douglas,NE,US,US/Central
68135-3235,Omaha,Douglas,NE,US,US/Central
68137-3020,Omaha,Douglas,NE,US,US/Central
68776-2917,South Sioux City,Dakota,NE,US,US/Central
70435-0122,Covington,St. Tammany,LA,US,US/Central
70503-2132,Lafayette,Lafayette,LA,US,US/Central
70503-4306,Lafayette,Lafayette,LA,US,US/Central
70503-5495,Lafayette,Lafayette,LA,US,US/Central
70506-1601,Lafayette,Lafayette,LA,US,US/Central
70506-1817,Lafayette,Lafayette,LA,US,US/Central
70506-4313,Lafayette,Lafayette,LA,US,US/Central
70506-5905,Lafayette,Lafayette,LA,US,US/Central
70506-6801,Lafayette,Lafayette,LA,US,US/Central
70506-7041,Lafayette,Lafayette,LA,US,US/Central
70506-7222,Lafayette,Lafayette,LA,US,US/Central
70506-9354,Lafayette,Lafayette,LA,US,US/Central
70507-4038,Lafayette,Lafayette,LA,US,US/Central
70508-3339,Lafayette,Lafayette,LA,US,US/Central
70508-5329,Lafayette,Lafayette,LA,US,US/Central
70518-3514,Broussard,Lafayette,LA,US,US/Central
70518-5911,Broussard,Lafayette,LA,US,US/Central
70531,Egan,Acadia,LA,US,US/Central
70592-6018,Youngsville,Lafayette,LA,US,US/Central
70714-4406,Baker,East Baton Rouge,LA,US,US/Central
70802-3064,Baton Rouge,East Baton Rouge,LA,US,US/Central
70802-3500,Baton Rouge,East Baton Rouge,LA,US,US/Central
70802-4553,Baton Rouge,East Baton Rouge,LA,US,US/Central
70802-4795,Baton Rouge,East Baton Rouge,LA,US,US/Central
70802-5506,Baton Rouge,East Baton Rouge,LA,US,US/Central
70802-6035,Baton Rouge,East Baton Rouge,LA,US,US/Central
70802-6252,Baton Rouge,East Baton Rouge,LA,US,US/Central
70802-6776,Baton Rouge,East Baton Rouge,LA,US,US/Central
70802-8240,Baton Rouge,East Baton Rouge,LA,US,US/Central
70805-3632,Baton Rouge,East Baton Rouge,LA,US,US/Central
70805-4614,Baton Rouge,East Baton Rouge,LA,US,US/Central
70805-5865,Baton Rouge,East Baton Rouge,LA,US,US/Central
70805-6066,Baton Rouge,East Baton Rouge,LA,US,US/Central
70805-6907,Baton Rouge,East Baton Rouge,LA,US,US/Central
70805-8264,Baton Rouge,East Baton Rouge,LA,US,US/Central
70805-8329,Baton Rouge,East Baton Rouge,LA,US,US/Central
70806-3662,Baton Rouge,East Baton Rouge,LA,US,US/Central
70806-5410,Baton Rouge,East Baton Rouge,LA,US,US/Central
70806-8227,Baton Rouge,East Baton Rouge,LA,US,US/Central
70807-4921,Baton Rouge,East Baton Rouge,LA,US,US/Central
70808-1035,Baton Rouge,East Baton Rouge,LA,US,US/Central
70808-2198,Baton Rouge,East Baton Rouge,LA,US,US/Central
70808-6172,Baton Rouge,East Baton Rouge,LA,US,US/Central
70808-6737,Baton Rouge,East Baton Rouge,LA,US,US/Central
70809-2508,Baton Rouge,East Baton Rouge,LA,US,US/Central
70809-4145,Baton Rouge,East Baton Rouge,LA,US,US/Central
70810-1532,Baton Rouge,East Baton Rouge,LA,US,US/Central
70810-1625,Baton Rouge,East Baton Rouge,LA,US,US/Central
70810-6726,Baton Rouge,East Baton Rouge,LA,US,US/Central
70812-1057,Baton Rouge,East Baton Rouge,LA,US,US/Central
70817-1319,Baton Rouge,East Baton Rouge,LA,US,US/Central
70818-4608,Baton Rouge,East Baton Rouge,LA,US,US/Central
71047,Keithville,Caddo,LA,US,US/Central
71103-3429,Shreveport,Caddo,LA,US,US/Central
71105-2104,Shreveport,Caddo,LA,US,US/Central
71106-7428,Shreveport,Caddo,LA,US,US/Central
71119-4012,Shreveport,Caddo,LA,US,US/Central
72386-9487,Tyronza,Crittenden,AR,US,US/Central
72472,Trumann,Poinsett,AR,US,US/Central
73013-1874,Edmond,Oklahoma,OK,US,US/Central
73013-8929,Edmond,Oklahoma,OK,US,US/Central
73020-6620,Choctaw,Oklahoma,OK,US,US/Central
73099-5016,Yukon,Canadian,OK,US,US/Central
73099-6309,Yukon,Canadian,OK,US,US/Central
73099-6539,Yukon,Canadian,OK,US,US/Central
73099-6748,Yukon,Canadian,OK,US,US/Central
73107-5255,Oklahoma City,Oklahoma,OK,US,US/Central
73108-2232,Oklahoma City,Oklahoma,OK,US,US/Central
73112-3508,Oklahoma City,Oklahoma,OK,US,US/Central
73112-5613,Oklahoma City,Oklahoma,OK,US,US/Central
73114-2904,Oklahoma City,Oklahoma,OK,US,US/Central
73117-2809,Oklahoma City,Oklahoma,OK,US,US/Central
73117-5803,Oklahoma City,Oklahoma,OK,US,US/Central
73120-7755,Oklahoma City,Oklahoma,OK,US,US/Central
73127-1816,Oklahoma City,Oklahoma,OK,US,US/Central
73128-1030,Oklahoma City,Canadian,OK,US,US/Central
73129-5340,Oklahoma City,Oklahoma,OK,US,US/Central
73129-6014,Oklahoma City,Oklahoma,OK,US,US/Central
73129-8171,Oklahoma City,Oklahoma,OK,US,US/Central
73142-5004,Oklahoma City,Oklahoma,OK,US,US/Central
73149-2220,Oklahoma City,Oklahoma,OK,US,US/Central
73170-2601,Oklahoma City,Cleveland,OK,US,US/Central
74066-7923,Sapulpa,Creek,OK,US,US/Central
74104-2605,Tulsa,Tulsa,OK,US,US/Central
74115-2234,Tulsa,Tulsa,OK,US,US/Central
74119-3604,Tulsa,Tulsa,OK,US,US/Central
74127-8321,Tulsa,Tulsa,OK,US,US/Central
74137-7007,Tulsa,Tulsa,OK,US,US/Central
74137-8708,Tulsa,Tulsa,OK,US,US/Central
75007,Carrollton,Denton,TX,US,US/Central
75150-1149,Mesquite,Dallas,TX,US,US/Central
75154-7304,Red Oak,Ellis,TX,US,US/Central
75205-1634,Dallas,Dallas,TX,US,US/Central
75206-6929,Dallas,Dallas,TX,US,US/Central
75206-7934,Dallas,Dallas,TX,US,US/Central
75208-4520,Dallas,Dallas,TX,US,US/Central
75215-2603,Dallas,Dallas,TX,US,US/Central
75216-5418,Dallas,Dallas,TX,US,US/Central
75217-4297,Dallas,Dallas,TX,US,US/Central
75217-6744,Dallas,Dallas,TX,US,US/Central
75228-4408,Dallas,Dallas,TX,US,US/Central
75228-5522,Dallas,Dallas,TX,US,US/Central
75228-6665,Dallas,Dallas,TX,US,US/Central
75230-5318,Dallas,Dallas,TX,US,US/Central
75235-5202,Dallas,Dallas,TX,US,US/Central
75243-3509,Dallas,Dallas,TX,US,US/Central
75602,Longview,Gregg,TX,US,US/Central
75845-4804,Groveton,Trinity,TX,US,US/Central
75901-6162,Lufkin,Angelina,TX,US,US/Central
76010-3056,Arlington,Tarrant,TX,US,US/Central
76112-3816,Fort Worth,Tarrant,TX,US,US/Central
76210-4215,Denton,Denton,TX,US,US/Central
76302-3520,Wichita Falls,Wichita,TX,US,US/Central
76302-5118,Wichita Falls,Wichita,TX,US,US/Central
76306-3111,Wichita Falls,Wichita,TX,US,US/Central
76306-4914,Wichita Falls,Wichita,TX,US,US/Central
76309-4415,Wichita Falls,Wichita,TX,US,US/Central
76527-4220,Florence,Williamson,TX,US,US/Central
77002-8219,Houston,Harris,TX,US,US/Central
77003-1005,Houston,Harris,TX,US,US/Central
77004-4007,Houston,Harris,TX,US,US/Central
77006-1726,Houston,Harris,TX,US,US/Central
77006-6338,Houston,Harris,TX,US,US/Central
77007-5436,Houston,Harris,TX,US,US/Central
77007-7513,Houston,Harris,TX,US,US/Central
77008-2244,Houston,Harris,TX,US,US/Central
77008-2512,Houston,Harris,TX,US,US/Central
77009-5911,Houston,Harris,TX,US,US/Central
77012-2650,Houston,Harris,TX,US,US/Central
77013-4609,Houston,Harris,TX,US,US/Central
77013-5201,Houston,Harris,TX,US,US/Central
77019-3812,Houston,Harris,TX,US,US/Central
77019-5014,Houston,Harris,TX,US,US/Central
77019-6522,Houston,Harris,TX,US,US/Central
77021-2015,Houston,Harris,TX,US,US/Central
77021-2416,Houston,Harris,TX,US,US/Central
77023-5501,Houston,Harris,TX,US,US/Central
77024-1301,Houston,Harris,TX,US,US/Central
77024-7014,Houston,Harris,TX,US,US/Central
77026-1809,Houston,Harris,TX,US,US/Central
77027-6709,Houston,Harris,TX,US,US/Central
77040-5326,Houston,Harris,TX,US,US/Central
77042-4203,Houston,Harris,TX,US,US/Central
77045-3726,Houston,Harris,TX,US,US/Central
77051-1925,Houston,Harris,TX,US,US/Central
77054-3808,Houston,Harris,TX,US,US/Central
77055-1721,Houston,Harris,TX,US,US/Central
77055-4323,Houston,Harris,TX,US,US/Central
77057-2622,Houston,Harris,TX,US,US/Central
77061-2622,Houston,Harris,TX,US,US/Central
77074-4909,Houston,Harris,TX,US,US/Central
77077-5805,Houston,Harris,TX,US,US/Central
77085-1707,Houston,Harris,TX,US,US/Central
77085-2261,Houston,Harris,TX,US,US/Central
77087-4622,Houston,Harris,TX,US,US/Central
77087-6511,Houston,Harris,TX,US,US/Central
77088-3602,Houston,Harris,TX,US,US/Central
77088-6235,Houston,Harris,TX,US,US/Central
77088-7913,Houston,Harris,TX,US,US/Central
77090-6927,Houston,Harris,TX,US,US/Central
77091-1107,Houston,Harris,TX,US,US/Central
77091-2341,Houston,Harris,TX,US,US/Central
77091-3361,Houston,Harris,TX,US,US/Central
77092-5502,Houston,Harris,TX,US,US/Central
77092-5700,Houston,Harris,TX,US,US/Central
77093-5815,Houston,Harris,TX,US,US/Central
77303,Conroe,Montgomery,TX,US,US/Central
77318-4924,Willis,Montgomery,TX,US,US/Central
77338-2502,Humble,Harris,TX,US,US/Central
77339,Kingwood,Harris,TX,US,US/Central
77371,Shepherd,San Jacinto,TX,US,US/Central
77578-3834,Manvel,Brazoria,TX,US,US/Central
77586-1566,Seabrook,Harris,TX,US,US/Central
77598-2328,Webster,Harris,TX,US,US/Central
77705-1512,Beaumont,Jefferson,TX,US,US/Central
78073,Von Ormy,Bexar,TX,US,US/Central
78202-1629,San Antonio,Bexar,TX,US,US/Central
78203-1742,San Antonio,Bexar,TX,US,US/Central
78203-1905,San Antonio,Bexar,TX,US,US/Central
78210-2002,San Antonio,Bexar,TX,US,US/Central
78210-4834,San Antonio,Bexar,TX,US,US/Central
78211-3747,San Antonio,Bexar,TX,US,US/Central
78213-3037,San Antonio,Bexar,TX,US,US/Central
78216-6220,San Antonio,Bexar,TX,US,US/Central
78218-4405,San Antonio,Bexar,TX,US,US/Central
78218-4628,San Antonio,Bexar,TX,US,US/Central
78219-4117,San Antonio,Bexar,TX,US,US/Central
78220-4032,San Antonio,Bexar,TX,US,US/Central
78221-1145,San Antonio,Bexar,TX,US,US/Central
78223-1700,San Antonio,Bexar,TX,US,US/Central
78233-4944,San Antonio,Bexar,TX,US,US/Central
78237-1970,San Antonio,Bexar,TX,US,US/Central
78240-3944,San Antonio,Bexar,TX,US,US/Central
78370-4003,Odem,San Patricio,TX,US,US/Central
78621-4147,Elgin,Travis,TX,US,US/Central
78621-5946,Elgin,Bastrop,TX,US,US/Central
78653-4517,Manor,Travis,TX,US,US/Central
78660-7665,Pflugerville,Travis,TX,US,US/Central
78660-7803,Pflugerville,Travis,TX,US,US/Central
78669-2330,Spicewood,Travis,TX,US,US/Central
78703-1804,Austin,Travis,TX,US,US/Central
78703-3054,Austin,Travis,TX,US,US/Central
78704-4733,Austin,Travis,TX,US,US/Central
78704-7220,Austin,Travis,TX,US,US/Central
78721-2209,Austin,Travis,TX,US,US/Central
78722-1216,Austin,Travis,TX,US,US/Central
78723-3924,Austin,Travis,TX,US,US/Central
78728-3905,Austin,Travis,TX,US,US/Central
78736-3207,Austin,Travis,TX,US,US/Central
78738-3109,Bee Cave,Travis,TX,US,US/Central
78741-2408,Austin,Travis,TX,US,US/Central
78741-3435,Austin,Travis,TX,US,US/Central
78745-3108,Austin,Travis,TX,US,US/Central
78745-6424,Austin,Travis,TX,US,US/Central
78746-1437,Austin,Travis,TX,US,US/Central
78746-6609,West Lake Hills,Travis,TX,US,US/Central
78748-1662,Austin,Travis,TX,US,US/Central
78752-3005,Austin,Travis,TX,US,US/Central
78758-5035,Austin,Travis,TX,US,US/Central
78759-4577,Austin,Travis,TX,US,US/Central
80735-9702,Idalia,Yuma,CO,US,US/Central
32405-6317,Panama City,Bay,FL,US,US/Central
32425-9063,Bonifay,Washington,FL,US,US/Central
32459-5516,Santa Rosa Beach,Walton,FL,US,US/Central
32526-5206,Pensacola,Escambia,FL,US,US/Central
32536-5288,Crestview,Okaloosa,FL,US,US/Central
32569-2261,Mary Esther,Okaloosa,FL,US,US/Central
35031-6664,Blountsville,Blount,AL,US,US/Central
35085-6351,Jemison,Chilton,AL,US,US/Central
35089,Kellyton,Coosa,AL,US,US/Central
35121-5129,Oneonta,Blount,AL,US,US/Central
35188-3018,Woodstock,Bibb,AL,US,US/Central
35204-1811,Birmingham,Jefferson,AL,US,US/Central
35204-3777,Birmingham,Jefferson,AL,US,US/Central
35207-2537,Birmingham,Jefferson,AL,US,US/Central
35208-4423,Birmingham,Jefferson,AL,US,US/Central
35211-5002,Birmingham,Jefferson,AL,US,US/Central
