Zipcode,City,County,State,Country,Timezone
59467,Pendroy,Teton,MT,US,US/Mountain
59722,Deer Lodge,Powell,MT,US,US/Mountain
59843,Helmville,Powell,MT,US,US/Mountain
79849,San Elizario,El Paso,TX,US,US/Mountain
79849-7304,San Elizario,El Paso,TX,US,US/Mountain
79903-4906,El Paso,El Paso,TX,US,US/Mountain
79907-4536,El Paso,El Paso,TX,US,US/Mountain
79907-6526,El Paso,El Paso,TX,US,US/Mountain
79915-2014,El Paso,El Paso,TX,US,US/Mountain
79930-1921,El Paso,El Paso,TX,US,US/Mountain
79930-4922,El Paso,El Paso,TX,US,US/Mountain
79935-2917,El Paso,El Paso,TX,US,US/Mountain
79936-1075,El Paso,El Paso,TX,US,US/Mountain
79936-1505,El Paso,El Paso,TX,US,US/Mountain
79936-7464,El Paso,El Paso,TX,US,US/Mountain
80121-8014,Littleton,Arapahoe,CO,US,US/Mountain
80122-1212,Centennial,Arapahoe,CO,US,US/Mountain
80206-2702,Denver,Denver,CO,US,US/Mountain
80206-3803,Denver,Denver,CO,US,US/Mountain
80209-2125,Denver,Denver,CO,US,US/Mountain
80303-9719,Boulder,Boulder,CO,US,US/Mountain
80305,Boulder,Boulder,CO,US,US/Mountain
80422,Black Hawk,Gilpin,CO,US,US/Mountain
80514-9104,Dacono,Weld,CO,US,US/Mountain
80624-9333,Gill,Weld,CO,US,US/Mountain
80808-9421,Calhan,El Paso,CO,US,US/Mountain
80820,Guffey,Park,CO,US,US/Mountain
80903-3534,Colorado Springs,El Paso,CO,US,US/Mountain
80918-8601,Colorado Springs,El Paso,CO,US,US/Mountain
81050-9254,La Junta,Otero,CO,US,US/Mountain
81321-9399,Cortez,Montezuma,CO,US,US/Mountain
83101,Kemmerer,Lincoln,WY,US,US/Mountain
84015-2420,Clearfield,Davis,UT,US,US/Mountain
84078-2922,Vernal,Uintah,UT,US,US/Mountain
84119-1320,West Valley City,Salt Lake,UT,US,US/Mountain
84123-5336,Salt Lake City,Salt Lake,UT,US,US/Mountain
84129-1426,Taylorsville,Salt Lake,UT,US,US/Mountain
84403-0368,Ogden,Weber,UT,US,US/Mountain
84404-5632,Ogden,Weber,UT,US,US/Mountain
84606,Provo,Utah,UT,US,US/Mountain
84660-4053,Spanish Fork,Utah,UT,US,US/Mountain
85006-2392,Phoenix,Maricopa,AZ,US,US/Mountain
85015-2108,Phoenix,Maricopa,AZ,US,US/Mountain
85016-1802,Phoenix,Maricopa,AZ,US,US/Mountain
85018-4724,Phoenix,Maricopa,AZ,US,US/Mountain
85018-7510,Phoenix,Maricopa,AZ,US,US/Mountain
85018-7514,Phoenix,Maricopa,AZ,US,US/Mountain
85022,Phoenix,Maricopa,AZ,US,US/Mountain
85024-4159,Phoenix,Maricopa,AZ,US,US/Mountain
85033-2201,Phoenix,Maricopa,AZ,US,US/Mountain
85035-2134,Phoenix,Maricopa,AZ,US,US/Mountain
85051-6793,Phoenix,Maricopa,AZ,US,US/Mountain
85120-7498,Apache Junction,Pinal,AZ,US,US/Mountain
85206-1722,Mesa,Maricopa,AZ,US,US/Mountain
85206-5209,Mesa,Maricopa,AZ,US,US/Mountain
85226-2021,Chandler,Maricopa,AZ,US,US/Mountain
85251-3910,Scottsdale,Maricopa,AZ,US,US/Mountain
85253-5413,Paradise Valley,Maricopa,AZ,US,US/Mountain
85257-2313,Scottsdale,Maricopa,AZ,US,US/Mountain
85258-5061,Scottsdale,Maricopa,AZ,US,US/Mountain
85302-4639,Glendale,Maricopa,AZ,US,US/Mountain
85303-1721,Glendale,Maricopa,AZ,US,US/Mountain
85304-3119,Glendale,Maricopa,AZ,US,US/Mountain
85339-2838,Laveen,Maricopa,AZ,US,US/Mountain
85701-3224,Tucson,Pima,AZ,US,US/Mountain
85711-3208,Tucson,Pima,AZ,US,US/Mountain
85711-6728,Tucson,Pima,AZ,US,US/Mountain
85713-6122,Tucson,Pima,AZ,US,US/Mountain
85715-4061,Tucson,Pima,AZ,US,US/Mountain
85716-2159,Tucson,Pima,AZ,US,US/Mountain
85719-1035,Tucson,Pima,AZ,US,US/Mountain
85719-1111,Tucson,Pima,AZ,US,US/Mountain
85745-2626,Tucson,Pima,AZ,US,US/Mountain
85746-8292,Tucson,Pima,AZ,US,US/Mountain
85746-9196,Tucson,Pima,AZ,US,US/Mountain
85748-6608,Tucson,Pima,AZ,US,US/Mountain
87106-1411,Albuquerque,Bernalillo,NM,US,US/Mountain
87107-4944,Albuquerque,Bernalillo,NM,US,US/Mountain
87111-3406,Albuquerque,Bernalillo,NM,US,US/Mountain
87114-5206,Albuquerque,Bernalillo,NM,US,US/Mountain
88260-3810,Lovington,Lea,NM,US,US/Mountain
79907-6233,El Paso,El Paso,TX,US,US/Mountain
79915-4126,El Paso,El Paso,TX,US,US/Mountain
79927-2507,El Paso,El Paso,TX,US,US/Mountain
79936-7240,El Paso,El Paso,TX,US,US/Mountain
80023-9305,Broomfield,Broomfield,CO,US,US/Mountain
80219-2007,Denver,Denver,CO,US,US/Mountain
80219-3243,Denver,Denver,CO,US,US/Mountain
80221-1006,Denver,Denver,CO,US,US/Mountain
80221-3039,Denver,Adams,CO,US,US/Mountain
80237-2401,Denver,Denver,CO,US,US/Mountain
80301,Boulder,Boulder,CO,US,US/Mountain
80504-9583,Longmont,Weld,CO,US,US/Mountain
80903-1213,Colorado Springs,El Paso,CO,US,US/Mountain
80903-2653,Colorado Springs,El Paso,CO,US,US/Mountain
80906-4216,Colorado Springs,El Paso,CO,US,US/Mountain
80907-4211,Colorado Springs,El Paso,CO,US,US/Mountain
80907-6827,Colorado Springs,El Paso,CO,US,US/Mountain
81039-9611,Fowler,Pueblo,CO,US,US/Mountain
82604,Casper,Natrona,WY,US,US/Mountain
83349-5515,Richfield,Lincoln,ID,US,US/Mountain
83655-5271,New Plymouth,Payette,ID,US,US/Mountain
84015-2370,Clearfield,Davis,UT,US,US/Mountain
84042-1684,Lindon,Utah,UT,US,US/Mountain
84082,Wallsburg,Wasatch,UT,US,US/Mountain
84109-1371,Salt Lake City,Salt Lake,UT,US,US/Mountain
84120-3303,West Valley City,Salt Lake,UT,US,US/Mountain
84329,Park Valley,Box Elder,UT,US,US/Mountain
84403-0312,Ogden,Weber,UT,US,US/Mountain
84404-5444,Ogden,Weber,UT,US,US/Mountain
85007-3204,Phoenix,Maricopa,AZ,US,US/Mountain
85008-3016,Phoenix,Maricopa,AZ,US,US/Mountain
85009-1240,Phoenix,Maricopa,AZ,US,US/Mountain
85009-1611,Phoenix,Maricopa,AZ,US,US/Mountain
85009-2819,Phoenix,Maricopa,AZ,US,US/Mountain
85021-2129,Phoenix,Maricopa,AZ,US,US/Mountain
85033-5854,Phoenix,Maricopa,AZ,US,US/Mountain
85034-4201,Phoenix,Maricopa,AZ,US,US/Mountain
85034-6808,Phoenix,Maricopa,AZ,US,US/Mountain
85035-1944,Phoenix,Maricopa,AZ,US,US/Mountain
85043-3921,Phoenix,Maricopa,AZ,US,US/Mountain
85120-3805,Apache Junction,Pinal,AZ,US,US/Mountain
85224-3660,Chandler,Maricopa,AZ,US,US/Mountain
85224-4338,Chandler,Maricopa,AZ,US,US/Mountain
